feature,f_classif_score,model
NM_001828,21.761343358088666,Logistic Regression
XM_931368,21.128815149152864,Logistic Regression
NM_016499,20.529178607664708,Logistic Regression
NM_032709,19.85255001049214,Logistic Regression
NM_018042,19.697993655467627,Logistic Regression
NM_006606,19.611346816005913,Logistic Regression
NM_003559,19.41800726828335,Logistic Regression
NM_033092,19.35529590676057,Logistic Regression
NM_000534,19.30167983000843,Logistic Regression
BC005895,19.104159018610975,Logistic Regression
AF039693,18.60407688773045,Logistic Regression
AK027546,18.140005644801974,Logistic Regression
AY372494,17.855502699991163,Logistic Regression
NM_178544,17.82192064397685,Logistic Regression
NM_153646,17.506745822640973,Logistic Regression
BC000037,17.49999338326614,Logistic Regression
BC109220,17.469007682679155,Logistic Regression
NM_015517,17.424406001717323,Logistic Regression
NM_012445,17.27058206542294,Logistic Regression
NM_001037582,17.138024857366712,Logistic Regression
NM_021111,17.06110865205192,Logistic Regression
NM_005833,16.809294345809256,Logistic Regression
XM_291019,16.688606491578437,Logistic Regression
NM_002071,16.624409689619554,Logistic Regression
NM_003434,16.563527139768148,Logistic Regression
NM_020448,16.37652264259069,Logistic Regression
NM_130901,16.33588398777604,Logistic Regression
NM_000423,16.28943431255976,Logistic Regression
BC032544,16.284349948600532,Logistic Regression
BC030267,16.24866757527064,Logistic Regression
NM_014959,16.1721077288878,Logistic Regression
NM_024684,16.099037457057786,Logistic Regression
BC021258,15.99241610709552,Logistic Regression
BC028073,15.990989101073943,Logistic Regression
NM_017931,15.98283245745534,Logistic Regression
NM_032146,15.845577275612346,Logistic Regression
NM_001001346,15.840362035614074,Logistic Regression
NM_005979,15.816402265851343,Logistic Regression
NM_173659,15.746953940652276,Logistic Regression
NM_016826,15.668298113159977,Logistic Regression
NM_181351,15.666290375708536,Logistic Regression
NM_005869,15.61034687044745,Logistic Regression
BC025295,15.591735337880802,Logistic Regression
NM_005665,15.531230924915256,Logistic Regression
NM_001140,15.515779939398536,Logistic Regression
NM_019023,15.48939116776707,Logistic Regression
NM_001035518,15.465479249711551,Logistic Regression
NM_004263,15.44061529512129,Logistic Regression
NM_145300,15.367327348675946,Logistic Regression
NM_052873,15.312147102779992,Logistic Regression
NM_004131,15.167886766744594,Logistic Regression
AF039692,15.163188857253202,Logistic Regression
BC029491,15.067747971998402,Logistic Regression
AY654627,15.05164837506347,Logistic Regression
NM_000387,15.018528290953167,Logistic Regression
BC047023,14.861388640855653,Logistic Regression
AK131201,14.829473515755966,Logistic Regression
NM_001017434,14.820720535877319,Logistic Regression
AK000409,14.806462827860429,Logistic Regression
NM_018718,14.784724265974315,Logistic Regression
NM_015076,14.772036511105417,Logistic Regression
NM_002340,14.698271984585052,Logistic Regression
AK124447,14.685213230248761,Logistic Regression
BC028141,14.624499626424877,Logistic Regression
NM_000615,14.604567571019938,Logistic Regression
X98858,14.555320197398373,Logistic Regression
NM_015120,14.553402222090533,Logistic Regression
NM_030751,14.541182012828369,Logistic Regression
XM_371461,14.484907497876296,Logistic Regression
NM_002601,14.433701918638382,Logistic Regression
BC113110,14.418978906462144,Logistic Regression
NM_014519,14.361218209278327,Logistic Regression
NM_139048,14.358166488691694,Logistic Regression
AK098371,14.341888247297492,Logistic Regression
BC012613,14.313116689717473,Logistic Regression
AK131391,14.269545879967584,Logistic Regression
NM_147194,14.25227662747657,Logistic Regression
AY102623,14.231351738082152,Logistic Regression
NM_030805,14.207050602937043,Logistic Regression
NM_016357,14.194505953959704,Logistic Regression
NM_032813,14.152117969719052,Logistic Regression
NM_031498,14.121982055019371,Logistic Regression
NM_007173,14.110553822814953,Logistic Regression
NM_033093,14.079669590768228,Logistic Regression
BC065928,14.076329574024173,Logistic Regression
BC035834,14.071331455042445,Logistic Regression
NM_015553,14.065202947462518,Logistic Regression
BC104772,14.041065661020987,Logistic Regression
BC020694,14.038281997789095,Logistic Regression
AK091478,14.03098847762818,Logistic Regression
NM_018091,14.02025725797213,Logistic Regression
XM_926974,14.016351870991414,Logistic Regression
NM_001968,14.0090221035313,Logistic Regression
NM_017939,13.988192522428866,Logistic Regression
AJ245377,13.952301287510625,Logistic Regression
BC030830,13.929964912369522,Logistic Regression
NM_000139,13.914770969976898,Logistic Regression
NM_015550,13.911762641413798,Logistic Regression
NM_078469,13.903539490248022,Logistic Regression
AY212514,13.901883827584266,Logistic Regression
BC036019,13.901537085973011,Logistic Regression
NM_003860,13.891508258603,Logistic Regression
NM_173559,13.87544334965743,Logistic Regression
BC027954,13.836105131818833,Logistic Regression
AK094612,13.826300023547558,Logistic Regression
BC046238,13.769280960147187,Logistic Regression
NM_017777,13.721385053731364,Logistic Regression
NM_001006656,13.69342075878932,Logistic Regression
XM_928617,13.680398509418193,Logistic Regression
XM_929465,13.622670763294645,Logistic Regression
XM_929196,13.593998587945984,Logistic Regression
NM_207498,13.536052489631697,Logistic Regression
NM_012387,13.516968714494823,Logistic Regression
NM_152552,13.475782556173979,Logistic Regression
BC012001,13.47364857142593,Logistic Regression
AF242540,13.443132898586889,Logistic Regression
NM_014140,13.39058462704613,Logistic Regression
BC015831,13.349132573060153,Logistic Regression
NM_015434,13.338021008684345,Logistic Regression
BC020216,13.319129257628823,Logistic Regression
NM_152516,13.293550086621652,Logistic Regression
NM_005338,13.274260632217645,Logistic Regression
NM_001004310,13.234249686189031,Logistic Regression
NM_020207,13.163763574215503,Logistic Regression
BC043542,13.125363547781904,Logistic Regression
NM_144497,13.124390309774064,Logistic Regression
NM_004059,13.120948751138295,Logistic Regression
NM_024164,13.050542898019547,Logistic Regression
NM_003721,13.015462463704159,Logistic Regression
NM_134263,13.012363168751714,Logistic Regression
NM_207343,13.006278278770903,Logistic Regression
XM_376420,12.999194337169559,Logistic Regression
AK126355,12.995601524555033,Logistic Regression
NM_138282,12.967664761593761,Logistic Regression
NM_006085,12.947075049813547,Logistic Regression
BC006320,12.940819634603235,Logistic Regression
NM_144618,12.922366698005987,Logistic Regression
NM_001009608,12.920070857122365,Logistic Regression
BC028173,12.903318909918028,Logistic Regression
BC064806,12.894436225475733,Logistic Regression
BC017801,12.874989581059067,Logistic Regression
BC111981,12.775836216682537,Logistic Regression
BC015770,12.747229163358087,Logistic Regression
NM_000060,12.73721555037772,Logistic Regression
NM_005100,12.732209122203905,Logistic Regression
NM_001517,12.71718119748149,Logistic Regression
AK092300,12.71665935590245,Logistic Regression
NM_005836,12.693588908587984,Logistic Regression
AL834288,12.679837184578913,Logistic Regression
NM_019061,12.671040602755442,Logistic Regression
XM_931536,12.603590793746722,Logistic Regression
NM_002204,12.59688092221329,Logistic Regression
CR933642,12.579656802961498,Logistic Regression
BC045764,12.55864016996928,Logistic Regression
BC114465,12.547132539322961,Logistic Regression
NM_173530,12.536719974666308,Logistic Regression
AK057904,12.520146162352832,Logistic Regression
XM_376679,12.498934075214018,Logistic Regression
BC000781,12.471529619077643,Logistic Regression
NM_002001,12.445131594348972,Logistic Regression
BC069653,12.413016259616953,Logistic Regression
NM_006510,12.39093148914716,Logistic Regression
NM_139321,12.3155700227772,Logistic Regression
BC002723,12.311996725638808,Logistic Regression
AY163812,12.307662308628126,Logistic Regression
NM_001023587,12.298522889252528,Logistic Regression
NM_017829,12.277411554827468,Logistic Regression
BC011902,12.271962482221998,Logistic Regression
BC020734,12.261150268821922,Logistic Regression
NM_005828,12.25095663297256,Logistic Regression
AK055892,12.247957522485208,Logistic Regression
AY116204,12.238168293968215,Logistic Regression
NM_138794,12.237131133040283,Logistic Regression
AF266283,12.218681181701902,Logistic Regression
AJ006121,12.199129624689673,Logistic Regression
NM_024525,12.186230594040637,Logistic Regression
BC090040,12.17244066192069,Logistic Regression
NM_007047,12.164535719824881,Logistic Regression
NM_024515,12.135134929895488,Logistic Regression
NM_183359,12.122756396170855,Logistic Regression
NM_080628,12.116896153838416,Logistic Regression
NM_016055,12.095850258078514,Logistic Regression
NM_017868,12.088984176524226,Logistic Regression
NM_199336,12.074605571772343,Logistic Regression
BC110796,12.060470772170872,Logistic Regression
BC011894,12.032565559586061,Logistic Regression
NM_182972,12.017660913821556,Logistic Regression
NM_020782,12.014240366164369,Logistic Regression
BC014314,11.987744168031865,Logistic Regression
AY438268,11.976808916471773,Logistic Regression
BC113111,11.966596237057392,Logistic Regression
BC053853,11.963522202214513,Logistic Regression
AK098368,11.96201781049948,Logistic Regression
AY569975,11.95756890187643,Logistic Regression
BC015943,11.888153247029482,Logistic Regression
NM_138698,11.873458611408493,Logistic Regression
BC017859,11.872805117877272,Logistic Regression
