feature,f_classif_score,model
PLAG1,18.223536644055166,Random Forest
PCBP2,14.756992931817924,Random Forest
SLC9A2,14.158257861822095,Random Forest
LRRC34,13.656537393495325,Random Forest
GNAS,12.739031230711417,Random Forest
RPS11,12.362505697242463,Random Forest
SORBS2,12.176148621760582,Random Forest
PHF3,11.785034099709128,Random Forest
RORA,11.477885885850643,Random Forest
DHRS12,11.231191046618425,Random Forest
NME5,11.20200103834748,Random Forest
SAMD15,11.180304828538848,Random Forest
ADAMTS1,11.145752339377461,Random Forest
USP3,11.110668256457995,Random Forest
CPE,10.85462219678998,Random Forest
USP18,10.837397190628439,Random Forest
LRRC8D,10.788830114947393,Random Forest
PKP2,10.74026966834314,Random Forest
KPNA5,10.683536498895442,Random Forest
FUBP1,10.575828153172916,Random Forest
BOLA2,10.333283661409997,Random Forest
RPS15A,10.277343424425439,Random Forest
TMEM216,10.068447544627572,Random Forest
EIF4B,9.965911220126,Random Forest
PHF20L1,9.915164600199605,Random Forest
MPP7,9.861064204956804,Random Forest
GZMB,9.787944513656742,Random Forest
YWHAZ,9.731772453996319,Random Forest
FBXW7,9.646112441044407,Random Forest
SCEL,9.629210224647439,Random Forest
BANF1,9.592625643838856,Random Forest
SERPINA7,9.464973256033637,Random Forest
TEX26,9.390685277735056,Random Forest
CD163,9.383601231283668,Random Forest
NEDD9,9.371371101987156,Random Forest
PARD6G,9.26324225489809,Random Forest
GLRA2,9.244583598504096,Random Forest
PNPO,9.172248763998255,Random Forest
MAOA,9.060654079225896,Random Forest
KLHL4,9.04354346554622,Random Forest
HPGDS,9.037652807993952,Random Forest
ENKD1,9.013426602848558,Random Forest
THAP10,9.011257830627507,Random Forest
DMTF1,8.997331391249201,Random Forest
PRADC1,8.9777019207153,Random Forest
COLEC12,8.975325434724002,Random Forest
LRCH2,8.8881419518745,Random Forest
HOOK1,8.87411924809226,Random Forest
SLX4IP,8.789822171838155,Random Forest
HTR2C,8.74996847757972,Random Forest
HSPA1A,8.680376197721786,Random Forest
CTHRC1,8.663316981538609,Random Forest
DUSP4,8.645617091176149,Random Forest
NR2F1,8.576125955861652,Random Forest
DDX6,8.570166417085526,Random Forest
PRRG1,8.54895982609081,Random Forest
CCL5,8.414510948555519,Random Forest
ANKRD49,8.36833974725518,Random Forest
NKAPL,8.160762171260641,Random Forest
ZNF256,8.159861168461187,Random Forest
CD74,8.102788707968896,Random Forest
GORAB,8.006607501738152,Random Forest
RPL35A,7.995075623903931,Random Forest
FRZB,7.985299124423173,Random Forest
NTPCR,7.954135057082153,Random Forest
HEPH,7.936319170529228,Random Forest
ITGA10,7.9135939203953285,Random Forest
SLC4A8,7.864076505292466,Random Forest
SLC25A20,7.854206067562925,Random Forest
RPS10,7.815173979226283,Random Forest
CRELD1,7.812812734880949,Random Forest
SCAF8,7.810324479566703,Random Forest
TNNT2,7.806146265677122,Random Forest
SAMD3,7.7613319752570185,Random Forest
UCHL1,7.759100717942772,Random Forest
DHRS1,7.667561641617772,Random Forest
YWHAE,7.607619278752247,Random Forest
HLA-G,7.607263033582399,Random Forest
SCYL2,7.584500700127066,Random Forest
LIMK2,7.580733254512446,Random Forest
PROM2,7.562756754524127,Random Forest
RPS25,7.553801742207731,Random Forest
DNHD1,7.503823785002948,Random Forest
AKR1C3,7.502364194307802,Random Forest
IRS2,7.5008540275823465,Random Forest
GPCPD1,7.4439625930443,Random Forest
CNN3,7.414407562644236,Random Forest
KMT2D,7.361806374072103,Random Forest
ENPP5,7.326518192274127,Random Forest
MT1F,7.320698844165585,Random Forest
RPL37A,7.319106139640739,Random Forest
LRP1B,7.300101016072278,Random Forest
SAR1B,7.256448495787271,Random Forest
ABCC4,7.216987674219688,Random Forest
CHN2,7.213962787142141,Random Forest
AKAP11,7.212778250852198,Random Forest
TCN1,7.184232588370638,Random Forest
CLN8,7.172250231761603,Random Forest
APOL4,7.171632730067202,Random Forest
SET,7.167964390159006,Random Forest
SURF2,7.159731631030183,Random Forest
RFXANK,7.150822469036416,Random Forest
POU2F1,7.136195821726335,Random Forest
TBX22,7.117606941040114,Random Forest
KSR1,7.111368579886271,Random Forest
ALKBH4,7.107538639082899,Random Forest
ARL6,7.093910831322473,Random Forest
DDHD2,7.093577014850677,Random Forest
F9,7.078731582458497,Random Forest
UBE2E1,7.075950010112586,Random Forest
MNDA,7.050802063288827,Random Forest
AGPAT4,7.006737401384786,Random Forest
ELP3,6.987861966804218,Random Forest
PRSS33,6.987806474229196,Random Forest
MCMDC2,6.9694724504181735,Random Forest
ENAH,6.940931423177692,Random Forest
PDE10A,6.917040465759842,Random Forest
NEURL4,6.893726983199486,Random Forest
ELL2,6.8783295726978935,Random Forest
UCN2,6.8448963768685,Random Forest
RBPJ,6.82872047800839,Random Forest
SHQ1,6.81882995937346,Random Forest
KDM2B,6.811672459347698,Random Forest
ADH1B,6.809618480517855,Random Forest
NFAT5,6.800241089616831,Random Forest
WDR72,6.789491056711737,Random Forest
AK1,6.788849205289028,Random Forest
DDX24,6.785460766371699,Random Forest
CTNNB1,6.777445494363303,Random Forest
SIGLEC6,6.7593343146856775,Random Forest
ZFP36L1,6.757909925827631,Random Forest
NCOA4,6.755784214235375,Random Forest
ZNF268,6.745189661458722,Random Forest
DNAJB13,6.665373483580669,Random Forest
ADAM28,6.65147839178609,Random Forest
SNPH,6.647642952990366,Random Forest
PPP1R13L,6.638822534469157,Random Forest
ZNF337,6.621360104509388,Random Forest
PABPC1,6.612817913041298,Random Forest
SEMA3A,6.609102544954503,Random Forest
LYN,6.60512215668578,Random Forest
RPS6KB1,6.575093969205674,Random Forest
PAPOLB,6.567996118512107,Random Forest
FHOD3,6.5609783181310535,Random Forest
KRT19,6.557877769519963,Random Forest
MID2,6.549881617951114,Random Forest
SLFN13,6.54303395108323,Random Forest
WDR46,6.536271222496249,Random Forest
CTPS2,6.531705656926308,Random Forest
B2M,6.515961601957224,Random Forest
SIX4,6.513157953780653,Random Forest
GABRA2,6.504574787131235,Random Forest
P2RY12,6.498378749845356,Random Forest
GALNT6,6.476360432726384,Random Forest
YTHDC2,6.462774451593807,Random Forest
APOL3,6.457363992716955,Random Forest
RRAS2,6.453910819626185,Random Forest
CXCL14,6.449143428182625,Random Forest
MKX,6.448022399140951,Random Forest
NPM1,6.429320362119476,Random Forest
NUP133,6.383602430619363,Random Forest
CHRDL1,6.380492605535487,Random Forest
NAPRT,6.379126737693568,Random Forest
TNMD,6.3737151620164605,Random Forest
RBP7,6.371813105222584,Random Forest
DZIP3,6.359527319583152,Random Forest
ZNF207,6.354925854334788,Random Forest
CLK4,6.354309446692095,Random Forest
CDH6,6.340082739344317,Random Forest
TRIM7,6.339984687446836,Random Forest
PPIG,6.337017344340888,Random Forest
LMLN,6.327681850641782,Random Forest
RARB,6.322145708818985,Random Forest
GYPC,6.304743791822621,Random Forest
ORMDL3,6.274944353516617,Random Forest
IRF1,6.270668399047143,Random Forest
ZNF266,6.262819242865723,Random Forest
NLGN1,6.256809771761809,Random Forest
THUMPD3,6.255976658233613,Random Forest
LHFPL1,6.2513855712336825,Random Forest
JUP,6.241506284929321,Random Forest
UBE2T,6.218444516055173,Random Forest
PKHD1L1,6.208629088846786,Random Forest
KDM3B,6.165743519156008,Random Forest
ZNF791,6.1542687357713115,Random Forest
GLRX3,6.151710055187648,Random Forest
FAM120B,6.146982650458379,Random Forest
CENPC,6.1366712710807105,Random Forest
ABCA5,6.131805527368566,Random Forest
KATNB1,6.12064031407048,Random Forest
